route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
TR,WEEKDAY,TR_WEEKDAY_0_1,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_2,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_3,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_4,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_5,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_6,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_7,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_8,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_9,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_10,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_11,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_12,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_13,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_14,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_15,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_16,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_17,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_18,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_19,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_20,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_21,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_22,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_23,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_24,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_25,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_26,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_27,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_28,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_29,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_30,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_31,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_32,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_33,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_34,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_35,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_36,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_37,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_38,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_39,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_40,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_41,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_42,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_43,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_44,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_45,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_46,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_47,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_48,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_49,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_50,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_51,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_52,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_53,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_54,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_55,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_56,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_57,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_58,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_59,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_60,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_61,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_62,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_63,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_64,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_65,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_66,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_67,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_68,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_69,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_70,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_71,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_72,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_73,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_74,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_75,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_76,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_77,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_78,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_79,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_80,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_81,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_82,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_83,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_0_84,LA CASILLA,0,TR_SHAPE_8753520
TR,WEEKDAY,TR_WEEKDAY_1_85,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_86,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_87,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_88,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_89,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_90,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_91,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_92,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_93,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_94,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_95,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_96,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_97,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_98,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_99,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_100,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_101,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_102,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_103,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_104,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_105,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_106,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_107,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_108,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_109,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_110,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_111,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_112,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_113,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_114,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_115,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_116,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_117,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_118,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_119,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_120,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_121,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_122,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_123,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_124,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_125,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_126,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_127,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_128,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_129,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_130,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_131,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_132,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_133,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_134,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_135,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_136,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_137,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_138,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_139,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_140,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_141,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_142,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_143,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_144,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_145,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_146,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_147,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_148,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_149,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_150,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_151,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_152,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_153,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_154,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_155,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_156,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_157,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_158,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_159,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_160,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_161,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_162,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_163,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_164,BOLUETA,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_165,ATXURI,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_166,ATXURI,1,TR_SHAPE_8753521
TR,WEEKDAY,TR_WEEKDAY_1_167,ATXURI,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_0_168,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_169,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_170,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_171,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_172,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_173,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_174,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_175,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_176,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_177,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_178,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_179,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_180,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_181,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_182,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_183,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_184,LA CASILLA,0,TR_SHAPE_8753520
