stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,wheelchair_boarding
118,1101,LEHENDAKARI AGUIRRE 149,,43.27775189531944,-2.9607975870999135,1,0,1
119,1102,LEHENDAKARI AGUIRRE 154,,43.278840023217484,-2.9612926888166413,1,0,1
120,1103,LEHENDAKARI AGUIRRE 161,,43.279439459232769,-2.9617527706373181,1,0,1
122,1104,PLAZA LEVANTE,,43.281711991126137,-2.9628574176995111,1,0,1
121,1105,LEHENDAKARI AGUIRRE 179,,43.281756526363765,-2.9630318561933136,1,0,1
123,1106,ORIXE 54,,43.283746833557309,-2.962508088356087,1,0,1
124,1201,IGNACIO  ELLACURÍA / ELORRIETA ,,43.284110770112605,-2.9654816263260946,1,0,1
83,1301,SARRIKO,,43.274658348573517,-2.9585358476060124,1,0,1
87,1302,DON BOSCO / UGARTEKO,,43.273344602592985,-2.955510555078972,1,0,1
82,1303,LEHENDAKARI AGUIRRE 135,,43.275900787285714,-2.9597845800746949,1,0,1
81,1304,LEHENDAKARI AGUIRRE 140,,43.276814896648851,-2.9601014576708655,1,0,1
85,1305,LEHENDAKARI AGUIRRE 81,,43.273810139700643,-2.9576214074041216,1,0,1
88,1306,UGARTEKO / IBARREKOLANDA,,43.273844383794795,-2.9554560152607321,1,0,1
130,1401,ARANEKO fte.22,,43.2741618473444,-2.9497927470022911,1,0,1
78,1402,BLAS DE OTERO fte. 23,,43.270073698205394,-2.9470847498173813,1,0,1
95,1403,BLAS DE OTERO fte. 57,,43.269834845052863,-2.9518522260396507,1,0,1
76,1404,BOTICA VIEJA,,43.26918370711266,-2.9436339291272309,1,0,1
71,1405,BOTICA VIEJA / PUENTE DE DEUSTU,,43.269952399722165,-2.9403442439719405,1,0,1
75,1407,HELIODORO DE LA TORRE,,43.269283815263982,-2.9437626384632756,1,0,1
69,1408,BOTICA VIEJA 1,,43.269994195462075,-2.9403853657444219,1,0,1
554,1409,BUENAVISTA,,43.274006049642026,-2.9433544523879305,1,0,1
72,1410,HERMANOS AGUIRRE ,,43.270986852901764,-2.9409105258898594,1,0,1
89,1411,IBARREKOLANDA 19,,43.273686815803778,-2.9544688472707814,1,0,1
86,1412,DON BOSCO ,,43.272734369472445,-2.9554928761744219,1,0,1
91,1413,ESCUELA DE IDIOMAS,,43.271681857936876,-2.9441703398998285,1,0,1
92,1414,LEHENDAKARI AGUIRRE / fte. BIDARTE,,43.271995267126833,-2.9499921921550794,1,0,1
93,1415,LEHENDAKARI AGUIRRE 42,,43.27213423273718,-2.9510352035989049,1,0,1
79,1416,LUIS POWER fte. 18,,43.270630807227192,-2.9474354970827377,1,0,1
77,1417,LUIS POWER fte. 4 ,,43.268717234636895,-2.9472745746287892,1,0,1
99,1418,MADARIAGA ,,43.270732673016909,-2.9568788946726481,1,0,1
97,1419,MADARIAGA / fte. LA SALLE,,43.27079389045673,-2.9545199343868322,1,0,1
98,1420,BASABE,,43.270677146660056,-2.9566054306954803,1,0,1
96,1421,LA SALLE,,43.270725746654641,-2.9549515471837395,1,0,1
90,1423,SAN PEDRO / IGLESIA,,43.271903890681486,-2.94496541568157,1,0,1
74,1424,SAN PIO X / FRANCESC MACIÀ,,43.270971909285713,-2.9415795975422516,1,0,1
73,1425,SAN PIO X / HERMANOS AGUIRRE,,43.27104294375868,-2.94131010404469,1,0,1
94,1428,SAGRADA FAMILIA / fte. SALESIANOS ,,43.271313853214465,-2.9526699999725072,1,0,1
603,1430,IBARREKOLANDA 17,,43.273541399186982,-2.954085165825223,1,0,1
604,1431,IBARREKOLANDA / PARKING,,43.27344649320716,-2.9535042188488068,1,0,1
1543,1432,MADARIAGA 13,,43.27103162647613,-2.9462110866698636,1,0,1
68,1434,PUENTE PEDRO ARRUPE,,43.270204003399279,-2.93727256942446,1,0,1
67,1435,UNIVERSIDAD DEUSTO,,43.270256883623631,-2.9376533655740986,1,0,1
110,1504,RIBERA DE DEUSTU fte. 59,,43.2680662121268,-2.9615706767869785,1,0,1
109,1509,RIBERA DE DEUSTU 57,,43.267958172681553,-2.9613527226472023,1,0,1
116,1511,ZORROTZAURRE fte. 17,,43.274704032198166,-2.9671654853722766,1,0,1
114,1513,ZORROTZAURRE fte. 9,,43.27261510997829,-2.9653660412243146,1,0,1
115,1514,ZORROTZAURRE 17,,43.2745756619525,-2.9669889906551328,1,0,1
113,1515,ZORROTZAURRE 9,,43.27246290172932,-2.9652314820204344,1,0,1
1286,1518,GENERAL ERASO / CLÍNICA IMQ,,43.267789539878891,-2.9514074692914116,1,0,1
1589,1519,JULIO URQUIJO,,43.268198740259685,-2.9540482852661332,1,0,1
3685,1520,ZORROTZAURRE 2,,43.271400641418531,-2.9646775091805155,1,0,1
5797,1522,CARGUERAS 17,,43.26710437589815,-2.9586040578492105,1,0,1
5798,1523,CARGUERAS 1,,43.266561397652559,-2.9562263084770448,1,0,1
6475,1525,GALLETERAS / PUENTE FRANK GEHRY,,43.26681382897079,-2.9555859320950173,1,0,1
6847,1527,GALLETERAS 42,,43.277640627639911,-2.9667456622932411,1,0,1
6849,1528,GALLETERAS PUNTA NORTE,,43.279729218590333,-2.9676062925985249,1,0,1
6850,1529,CARGUERAS / esq. GALLETERAS,,43.267591666301463,-2.9585792390618688,1,0,1
131,1601,ARANEKO 17,,43.274125275667927,-2.9484785907030604,1,0,1
128,1602,BERRIZBIDEA,,43.276070773797649,-2.9495538341766361,1,0,1
132,1603,EGILEOR 4,,43.274441041622936,-2.9472659879487559,1,0,1
135,1604,MONTE GANETA fte. 7,,43.275420653542739,-2.9474762072326528,1,0,1
129,1605,CAMINO MIRAMAR / ESCUELA,,43.275414074217387,-2.9496823458202486,1,0,1
556,1606,VIRGEN DEL PINAR 5,,43.276583873816122,-2.9505568249537584,1,0,1
555,1607,VIRGEN DEL PINAR 9,,43.276156773084018,-2.9501503079668217,1,0,1
133,1608,GANEKOGORTA 10,,43.274774124891543,-2.9469123572018217,1,0,1
134,1609,GORBEIA fte. 3,,43.274401554767621,-2.9458173055160572,1,0,1
127,1701,ARANEKO / CEMENTERIO,,43.275474894173925,-2.9524388431027555,1,0,1
126,1702,CAMINO MIRAMAR fte. 47,,43.27682782389784,-2.9532074526871961,1,0,1
