service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
21-60,1,1,1,1,0,0,0,20250901,20260630
21-61,0,0,0,0,1,0,0,20250901,20260630
21-62,0,0,0,0,0,1,0,20250901,20260630
21-362,0,0,0,0,0,0,1,20250901,20260630
21-64,0,0,0,0,0,0,0,20250901,20260630
21-11,0,0,0,0,0,0,0,20250901,20260630
21-132,0,0,0,0,0,0,0,20250901,20260630
21-327,0,0,0,0,0,0,0,20250901,20260630
21-226,0,0,0,0,0,0,0,20250901,20260630
21-227,0,0,0,0,0,0,0,20250901,20260630
